YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2019,6,10988,18599,Craigslist
2016,9,34014,10955,Craigslist
2019,6,40000,14500,Craigslist
2019,6,67309,13988,Craigslist
2016,9,72000,7750,Craigslist
2016,9,69814,7327,Craigslist
2016,9,106819,7500,Craigslist
2019,6,37346,14422,Craigslist
2018,7,47560,12900,Craigslist
2017,8,43311,14995,Craigslist
2017,8,121953,11997,Craigslist
2017,8,54248,11000,Craigslist
2015,10,39000,13000,Craigslist
2019,6,23000,17500,Craigslist
2019,6,31000,15900,Craigslist
